Path,Name,NodeType,Anchor,OffsetX,OffsetY,Width,Height,SizeMode,AssetMode,ExistingAssetPath,StreamingAssetPath,TemplateID,TemplateRole,LayoutVariant,BindingKey,AllowCrop,SliceBorder,Text
0001:0,0,Layer,MiddleCenter,0.0,0.0,2446,1080,Fixed,Ignore,,-,,,,,False,,
0002:0,0,Layer,MiddleCenter,1.0,-3.5,330,329,Fixed,Ignore,,-,,,,,False,,
0003:0,0,Layer,MiddleCenter,1.5,-1.5,501,527,Fixed,Ignore,,-,,,,,False,,
0004:Background,Background,Layer,MiddleCenter,0.0,0.0,2446,1080,Uniform,Streaming,,art_assets/BattleBG/{BattleID}_BG.png,,,,BattleBackground,True,,
0005:0,0,Layer,MiddleCenter,0.0,0.0,1496,468,Fixed,Ignore,,-,,,,,False,,
0006:0,0,Layer,MiddleCenter,0.0,19.0,1920,1118,Fixed,Ignore,,-,,,,,False,,
0007:Blackfold,Blackfold,Layer,MiddleCenter,0.0,0.0,1920,1080,StretchXY,Generated,,-,,,,ScreenDimmer,False,,
0008:character,character,Group,MiddleRight,-482.5,33.5,737,541,Fixed,Group,,-,,,,,False,,
0008:character/0009:CharacterCard4,CharacterCard4,Instance,Template,492.0,203.0,245,338,Fixed,Instance,,-,charactercard_79f9eb05,instance,Top,,False,,
0008:character/0012:CharacterCard2,CharacterCard2,Instance,Template,163.0,203.0,245,338,Fixed,Instance,,-,charactercard_79f9eb05,instance,Top,,False,,
0008:character/0015:CharacterCard3,CharacterCard3,Instance,Template,329.0,0.0,245,338,Fixed,Instance,,-,charactercard_79f9eb05,instance,Bottom,,False,,
0008:character/0018:CharacterCard1,CharacterCard1,Group,MiddleCenter,207.5,-68.0,245,338,Fixed,Group,,-,charactercard_79f9eb05,template,Bottom,,False,,
0008:character/0018:CharacterCard1/component:CardShadow,CardShadow,Layer,MiddleCenter,207.5,-68.0,211.48,362.84,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardShadow.png,,,,CardShadow,False,,
0008:character/0018:CharacterCard1/component:CardOverGlow,CardOverGlow,Layer,MiddleCenter,207.5,-68.0,218.34,374.61,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardOverGlow.png,,,,CardOverGlow,False,,
0008:character/0018:CharacterCard1/0021:1009_01,1009_01,Layer,MiddleCenter,207.5,-68.0,197,338,Uniform,DynamicStreaming,,art_assets/Character_Whole/{CharacterID}_03.png,,,,CharacterCardArt,False,,
0008:character/0018:CharacterCard1/component:CardInnerShadow,CardInnerShadow,Layer,MiddleCenter,207.5,-68.0,197.00,338.00,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardInnerShadow.png,,,,CardInnerShadow,False,,
0022:Enemy,Enemy,Group,MiddleLeft,509.5,33.0,855,542,Fixed,Group,,-,,,,,False,,
0022:Enemy/0023:EnemyCard2,EnemyCard2,Instance,Template,-155.0,204.0,197,338,Fixed,Instance,,-,enemycard_f2259c96,instance,Top,,False,,
0022:Enemy/0025:EnemyCard4,EnemyCard4,Instance,Template,-484.0,204.0,197,338,Fixed,Instance,,-,enemycard_f2259c96,instance,Top,,False,,
0022:Enemy/0027:EnemyCard5,EnemyCard5,Instance,Template,-658.0,1.0,197,338,Fixed,Instance,,-,enemycard_f2259c96,instance,Bottom,,False,,
0022:Enemy/0029:EnemyCard3,EnemyCard3,Instance,Template,-329.0,0.0,197,338,Fixed,Instance,,-,enemycard_f2259c96,instance,Bottom,,False,,
0022:Enemy/0031:EnemyCard1,EnemyCard1,Group,MiddleCenter,-121.5,-69.0,197,359,Fixed,Group,,-,enemycard_f2259c96,template,Bottom,,False,,
0022:Enemy/0031:EnemyCard1/component:CardShadow,CardShadow,Layer,MiddleCenter,-121.5,-69.0,211.48,362.84,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardShadow.png,,,,CardShadow,False,,
0022:Enemy/0031:EnemyCard1/component:CardOverGlow,CardOverGlow,Layer,MiddleCenter,-121.5,-69.0,218.34,374.61,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardOverGlow.png,,,,CardOverGlow,False,,
0022:Enemy/0031:EnemyCard1/0032:2020_01,2020_01,Layer,MiddleCenter,-121.5,-69.0,197,338,Uniform,DynamicStreaming,,art_assets/Enemy/{EnemyID}_01.png,,,,EnemyCardArt,False,,
0022:Enemy/0031:EnemyCard1/component:CardInnerShadow,CardInnerShadow,Layer,MiddleCenter,-121.5,-69.0,197.00,338.00,Uniform,Streaming,,art_assets/UI/BattleField1/UI_components/card/CardInnerShadow.png,,,,CardInnerShadow,False,,
0022:Enemy/0031:EnemyCard1/0033:ElementalShield,ElementalShield,Group,MiddleCenter,-122.0,114.0,172,14,Fixed,Group,,-,,,,,False,,
0022:Enemy/0031:EnemyCard1/0033:ElementalShield/0034:矩形 3,矩形 3,Layer,MiddleCenter,-122.0,114.0,172,14,StretchX,Generated,,-,,,,ValueBar,False,,
0022:Enemy/0031:EnemyCard1/0033:ElementalShield/0035:血条上方柔光,血条上方柔光,Layer,MiddleCenter,-121.5,117.0,163,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarUpperLight.png,,,,HpUpperLight,False,,
0022:Enemy/0031:EnemyCard1/0033:ElementalShield/0036:血条下方阴影,血条下方阴影,Layer,MiddleCenter,-120.5,110.0,163,4,StretchX,Streaming,,art_assets/UI/BattleField1/UI_components/HPBarLowerShadow.png,,,,HpLowerShadow,False,,
0037:角色栏,角色栏,Group,BottomLeft,585.5,121.0,1083,210,Fixed,Group,,-,,,,,False,,
