output_file,status,transparent,character_id,character_cn,character_source,naming_role,talent_slot,talent_type,talent_type_cn,talent_name_en,talent_name_cn,parent_talent_name_en,parent_talent_name_cn,description_cn,description_en,source_filename,talent_page,source_page,source_url,sha1
1009_T01.png,downloaded,unknown,1009,安柏,Amber,skill,combat2,Elemental Skill,元素战技,Explosive Puppet,爆弹玩偶,,,"请可靠的兔兔伯爵上阵。

兔兔伯爵
·持续嘲讽周围的敌人，吸引火力；
·耐久度按比例继承安柏的生命值上限；
·被摧毁或持续时间结束时，会发生剧烈的爆炸，造成火元素范围伤害。

长按
调整投掷方向。
投掷距离随长按时间增加。","The ever-reliable Baron Bunny takes the stage.

Baron Bunny
·Continuously taunts the enemy, drawing their fire.
·Baron Bunny's HP scales with Amber's Max HP.
·When destroyed or when its timer expires, Baron Bunny explodes, dealing AoE Pyro DMG.

Hold
Adjusts the throwing direction of Baron Bunny.
The longer the button is held, the further the throw.",Talent Explosive Puppet.png,https://genshin-impact.fandom.com/wiki/Explosive_Puppet,https://genshin-impact.fandom.com/wiki/File%3ATalent_Explosive_Puppet.png,https://static.wikia.nocookie.net/gensin-impact/images/e/e0/Talent_Explosive_Puppet.png/revision/latest?cb=20210607085822,257836bf79062f397c62e928b16af742a2a9bab8
1009_T02.png,downloaded,unknown,1009,安柏,Amber,burst,combat3,Elemental Burst,元素爆发,Fiery Rain,箭雨,,,射出火焰箭雨，持续造成火元素范围伤害。,"Fires off a shower of arrows, dealing continuous AoE Pyro DMG.",Talent Fiery Rain.png,https://genshin-impact.fandom.com/wiki/Fiery_Rain,https://genshin-impact.fandom.com/wiki/File%3ATalent_Fiery_Rain.png,https://static.wikia.nocookie.net/gensin-impact/images/6/6c/Talent_Fiery_Rain.png/revision/latest?cb=20210607085953,e7d280ae5b99e6abd87e9925061173e414880089
1009_T03.png,downloaded,unknown,1009,安柏,Amber,passive,passive1,1st Ascension Passive,突破天赋1,Every Arrow Finds Its Target,百发百中！,,,箭雨的暴击率提高10%，影响范围扩大30%。,Increases the CRIT Rate of Fiery Rain by 10% and widens its AoE by 30%.,Talent Every Arrow Finds Its Target.png,https://genshin-impact.fandom.com/wiki/Every_Arrow_Finds_Its_Target,https://genshin-impact.fandom.com/wiki/File%3ATalent_Every_Arrow_Finds_Its_Target.png,https://static.wikia.nocookie.net/gensin-impact/images/5/54/Talent_Every_Arrow_Finds_Its_Target.png/revision/latest?cb=20210607085811,0c3fb0ffee7788c33f288b665fc05dd523bd38a5
1009_T04.png,downloaded,unknown,1009,安柏,Amber,passive,passive2,4th Ascension Passive,突破天赋2,Precise Shot,压制射击,,,瞄准射击命中弱点时，攻击力提高15%，持续10秒。,Aimed Shot hits on weak points increase ATK by 15% for 10s.,Talent Precise Shot.png,https://genshin-impact.fandom.com/wiki/Precise_Shot,https://genshin-impact.fandom.com/wiki/File%3ATalent_Precise_Shot.png,https://static.wikia.nocookie.net/gensin-impact/images/5/51/Talent_Precise_Shot.png/revision/latest?cb=20210607091338,268cec12b8708db1823c73721a487fece2ffaa62
1009_T05.png,downloaded,unknown,1009,安柏,Amber,passive,passive3,Utility Passive,探索天赋,Gliding Champion,飞行冠军,,,"队伍中自己的角色滑翔消耗的体力降低20%。
无法与效果完全相同的固有天赋叠加。","Decreases gliding Stamina consumption for your own party members by 20%.
Not stackable with Passive Talents that provide the exact same effects.",Talent Gliding Champion.png,https://genshin-impact.fandom.com/wiki/Gliding_Champion,https://genshin-impact.fandom.com/wiki/File%3ATalent_Gliding_Champion.png,https://static.wikia.nocookie.net/gensin-impact/images/d/df/Talent_Gliding_Champion.png/revision/latest?cb=20210607090319,373c8bf8634446b6aab307ca2083aa057fa2eac0
1010_T01.png,downloaded,unknown,1010,凯亚,Kaeya,skill,combat2,Elemental Skill,元素战技,Frostgnaw,霜袭,,,瞬间放出急冻的寒气，对前方的敌人造成冰元素伤害。,"Unleashes a frigid blast, dealing Cryo DMG to opponents in front of Kaeya.",Talent Frostgnaw.png,https://genshin-impact.fandom.com/wiki/Frostgnaw,https://genshin-impact.fandom.com/wiki/File%3ATalent_Frostgnaw.png,https://static.wikia.nocookie.net/gensin-impact/images/5/51/Talent_Frostgnaw.png/revision/latest?cb=20210607090157,d3b85b20b9c0f5b73c43c20b5608c554bf5e6b6a
1010_T02.png,downloaded,unknown,1010,凯亚,Kaeya,burst,combat3,Elemental Burst,元素爆发,Glacial Waltz,凛冽轮舞,,,"凝聚空气中的寒霜，召唤3枚围绕自身旋转的寒冰之棱。
存在期间内，寒冰之棱会跟随角色运动，对路径上的敌人造成冰元素伤害。","Coalescing the frost in the air, Kaeya summons 3 icicles that revolve around him.
These icicles will follow the character around and deal Cryo DMG to opponents in their path for the ability's duration.",Talent Glacial Waltz.png,https://genshin-impact.fandom.com/wiki/Glacial_Waltz,https://genshin-impact.fandom.com/wiki/File%3ATalent_Glacial_Waltz.png,https://static.wikia.nocookie.net/gensin-impact/images/2/29/Talent_Glacial_Waltz.png/revision/latest?cb=20210607090308,ec0deb373a4c98e8f4eef65a4e4a702cb0ba9fbc
1010_T03.png,downloaded,unknown,1010,凯亚,Kaeya,passive,passive1,1st Ascension Passive,突破天赋1,Cold-Blooded Strike,冷血之剑,,,霜袭每击中一个单位，便为凯亚恢复等同于攻击力15%的生命值。,Every hit with Frostgnaw regenerates HP for Kaeya equal to 15% of his ATK.,Talent Cold-Blooded Strike.png,https://genshin-impact.fandom.com/wiki/Cold-Blooded_Strike,https://genshin-impact.fandom.com/wiki/File%3ATalent_Cold-Blooded_Strike.png,https://static.wikia.nocookie.net/gensin-impact/images/c/c4/Talent_Cold-Blooded_Strike.png/revision/latest?cb=20210607085327,0713f99f7973097f7c31183d2604e19902abd0a1
1010_T04.png,downloaded,unknown,1010,凯亚,Kaeya,passive,passive2,4th Ascension Passive,突破天赋2,Glacial Heart,冰渊之心,,,"霜袭使敌人冻结时，被冻结的敌人会掉落额外的元素微粒。
一次霜袭至多因此产生2个额外元素微粒。","Opponents Frozen by Frostgnaw will drop additional Elemental Particles.
Frostgnaw may only produce a maximum of 2 additional Elemental Particles per use.",Talent Glacial Heart.png,https://genshin-impact.fandom.com/wiki/Glacial_Heart,https://genshin-impact.fandom.com/wiki/File%3ATalent_Glacial_Heart.png,https://static.wikia.nocookie.net/gensin-impact/images/6/6f/Talent_Glacial_Heart.png/revision/latest?cb=20210607090245,ee5f322ee3e9453df5178cd9af35f68a28b23272
1010_T05.png,skipped_existing,unknown,1010,凯亚,Kaeya,passive,passive3,Utility Passive,探索天赋,Hidden Strength,隐藏的实力,,,"队伍中自己的角色冲刺消耗的体力降低20%。
无法与效果完全相同的固有天赋叠加。","Decreases sprinting Stamina consumption for your own party members by 20%.
Not stackable with Passive Talents that provide the exact same effects.",Talent Hidden Strength.png,https://genshin-impact.fandom.com/wiki/Hidden_Strength,https://genshin-impact.fandom.com/wiki/File%3ATalent_Hidden_Strength.png,https://static.wikia.nocookie.net/gensin-impact/images/8/8e/Talent_Hidden_Strength.png/revision/latest?cb=20210607090538,1c6b3a3ca06cc6b405e904f47338ee3d95b867d2
